ien	name	item_text	type	package	entry_action	exit_action
5914	PSO DETAILED ALLERGY/HRC LIST	Detailed Allergy/ADR List	A	OUTPATIENT PHARMACY	D DD^PSOMPHRC	D EXIT^PSOLMDA
5915	PSO ALLERGY/HRC LIST MENU	ALLERGY/HRC LIST MENU	M	OUTPATIENT PHARMACY		
5916	PSO HRC SELECT	Select a prescription	A		D SEL^PSOMPHRC	
5917	PSO HRC REFILL MENU	HRC Medication Profile Refill Menu	M	OUTPATIENT PHARMACY		
5918	BPS PRTCL RSCH HIDDEN ACTIONS	ECME RESEARCH SCREEN HIDDEN ITEMS	M			
5919	BPS PRTCL RSCH ELIG INQ	Eligibility Inquiry	A	E CLAIMS MGMT ENGINE	D RESED^BPSELG	
5920	PSO REJECT DISPLAY ADDITIONAL INFO	View Addtnl Rej Info	A	OUTPATIENT PHARMACY	D ADDTXT^PSOREJP5	
5921	IBNCPDP INS ELIG SEND	Send Rx Ins Inquiry	A		D SEND^IBNCPIV	
5922	IBNCPDP INS ELIG EFF DATE	Modify Effective Date	A		D CHGD^IBNCPIV	
5923	IBNCPDP INS ELIG VER INQ MENU	Patient Insurance	M		K IBFASTXT	I $G(IBFASTXT) S VALMBCK="Q"
5924	IBNCPDP INS ELIG TOGGLE	All/Rx Only Ins Policies	A		D TOGGLE^IBNCPIV	
5925	IBNCPDP INS ELIG PAT	Change Patient	A		D CP^IBNCPIV	
5926	IBCNB LIST EPHARMACY VIEW	ePharm Buffer	A		K IBCNSORT D EN1^IBCNBLL(5)	
5927	IBJT ECME RESP INFO SCREEN	ECME Information	A	INTEGRATED BILLING	D EN^IBJTRX	
5928	IBJT ECME RESP INFO MENU	ECME claim information menu	M	INTEGRATED BILLING	K IBFASTXT	I $G(IBFASTXT) S VALMBCK="Q"
