protocol_name	protocol_package	action_kind	callee_tag	callee_routine	call_kind	ref_count
DGPF TRANSFER FLAG	REGISTRATION	entry	TR	DGPFLMA5	do	1
DGPF TRANSMIT REJECT MESSAGE	REGISTRATION	entry	RM	DGPFLMT2	do	1
DGPF TRANSMIT SORT LIST	REGISTRATION	entry	SL	DGPFLMT2	do	1
DGPF TRANSMIT VIEW MESSAGE	REGISTRATION	entry	VM	DGPFLMT2	do	1
DGPM PROVIDER UPDATE EVENT	REGISTRATION	entry	EN	DGPMVPU	do	1
DGPM TREATING SPECIALTY EVENT	REGISTRATION	entry	EV	DGPTTS	do	1
DGPRE EXPAND PATIENT	REGISTRATION	entry	PTINQ	DGPREP2	do	1
DGPRE HIST SC	REGISTRATION	entry	EXPND	DGPREP2	do	1
DGPRE RG CP		entry	EDIT	DGPREP1	do	1
DGPRE RG EDIT	REGISTRATION	entry	EDIT	DGPREP0	do	1
DGPRE RG EH		entry	EH	DGPREP1	do	1
DGPRE RG XH		entry	STAT	DGPREP1	do	1
DGPT A/P ARCHIVE		entry	ARC	DGPTAPA	do	1
DGPT A/P ARCHIVE		exit	ARCEX	DGPTAPA	do	1
DGPT A/P PURGE		entry	PUR	DGPTAPP	do	1
DGPT A/P PURGE		exit	PUREX	DGPTAPP	do	1
DGPT ADD A/P TEMPLATE	REGISTRATION	entry	TMPADD	DGPTLMU2	do	1
DGPT ADD A/P TEMPLATE	REGISTRATION	exit	TMPEXIT	DGPTLMU2	do	1
DGPT DEL A/P TEMPLATE	REGISTRATION	entry	TMPDEL	DGPTLMU2	do	1
DGPT DEL A/P TEMPLATE	REGISTRATION	exit	TMPEXIT	DGPTLMU2	do	1
DGPT DETAILED INQUIRY	REGISTRATION	entry	DIEN	DGPTLMU4	do	1
DGPT EDIT A/P TEMPLATE		entry	TMPED	DGPTLMU2	do	1
DGPT EDIT A/P TEMPLATE		exit	TMPEXIT	DGPTLMU2	do	1
DGPT REMOVE A/P	REGISTRATION	entry	DELEX	DGPTLMU1	do	1
DGPT SELECT A/P	REGISTRATION	entry	ADDEX	DGPTLMU1	do	1
DGRU DEL ROOM-BED	REGISTRATION	entry	DEL	DGRURB	do	1
DGRU ENTER ROOM-BED	REGISTRATION	entry	ADD	DGRURB	do	1
DGRU INPATIENT CAPTURE	REGISTRATION	entry		DGRUADT	do	1
DIAC CHANGE		entry	CHANGE	DIACLM1	do	1
DIAC DELETE		entry	DELETE	DIACLM1	do	1
DIAC DISABLE		entry	DISABLE	DIACLM1	do	1
DIAC EDIT		entry	EDIT	DIACLM1	do	1
DIAC EXPAND		entry	EXPAND	DIACLM1	do	1
DIAC FUNCTIONS		entry	FULL	VALM1	do	1
DIAC INQUIRE		entry	DETAIL	DIACLM1	do	1
DIAC LINK ACTION		entry	FULL	VALM1	do	1
DIAC MEMBERS		entry	ADD	DIACLM1	do	1
DIAC QUIT		entry	EXIT	DIACLM1	do	1
DIAC TEST		entry	TEST	DIACLM1	do	1
DVB ADMISSION HINQ	HINQ	entry	EVENT	DVBHT2	do	1
DVBA ACCEPT DISCHARGE TYPES	AUTOMATED MED INFO EXCHANGE	entry	ACCEPT	DVBALD	do	1
DVBA ADD DISCHARGE TYPE	AUTOMATED MED INFO EXCHANGE	entry	ADD	DVBALD	do	1
DVBA C&P SCHD EVENT		entry		DVBCSDEV	do	1
DVBA CREATE DISCHARGE TYPE LIST	AUTOMATED MED INFO EXCHANGE	entry	CREATE	DVBALD	do	1
DVBA DELETE DISCHARGE TYPES	AUTOMATED MED INFO EXCHANGE	entry	DELETE	DVBALD	do	1
EAS EZ ACCEPT ALL		entry	ACCALL	EASEZU3	do	1
