source_package	dest_package	call_edges	distinct_caller_routines	distinct_callee_routines
Enterprise Health Management Platform	General Medical Record - Vitals	12	4	7
Enterprise Health Management Platform	Integrated Billing	1	1	1
Enterprise Health Management Platform	Kernel	161	74	11
Enterprise Health Management Platform	Lab Service	9	6	6
Enterprise Health Management Platform	Lexicon Utility	3	2	3
Enterprise Health Management Platform	List Manager	15	5	4
Enterprise Health Management Platform	MailMan	1	1	1
Enterprise Health Management Platform	Master Patient Index VistA	14	11	1
Enterprise Health Management Platform	Medicine	4	3	2
Enterprise Health Management Platform	Mental Health	2	1	2
Enterprise Health Management Platform	National Drug File	6	2	4
Enterprise Health Management Platform	Order Entry Results Reporting	55	24	23
Enterprise Health Management Platform	Outpatient Pharmacy	3	1	3
Enterprise Health Management Platform	PCE Patient Care Encounter	5	5	2
Enterprise Health Management Platform	Pharmacy Data Management	15	5	9
Enterprise Health Management Platform	Problem List	5	4	2
Enterprise Health Management Platform	RPC Broker	1	1	1
Enterprise Health Management Platform	Radiology Nuclear Medicine	11	7	2
Enterprise Health Management Platform	Registration	44	17	14
Enterprise Health Management Platform	Scheduling	14	9	5
Enterprise Health Management Platform	Surgery	4	3	1
Enterprise Health Management Platform	Text Integration Utility	26	7	9
Enterprise Health Management Platform	Toolkit	25	15	3
Enterprise Health Management Platform	VA FileMan	149	71	16
Enterprise Support Solution	Kernel	3	1	1
Enterprise Support Solution	MailMan	2	2	1
Enterprise Support Solution	VA FileMan	5	2	5
Enterprise Terminology Services	Enterprise Terminology Services	22	5	9
Enterprise Terminology Services	Kernel	10	8	3
Enterprise Terminology Services	VA FileMan	12	8	5
Equipment Turn-In Request	Engineering	5	5	2
Equipment Turn-In Request	Equipment Turn-In Request	75	36	30
Equipment Turn-In Request	IFCAP	8	4	5
Equipment Turn-In Request	Kernel	11	8	4
Equipment Turn-In Request	MailMan	6	6	2
Equipment Turn-In Request	VA FileMan	96	37	13
Event Capture	CPT HCPCS Codes	50	40	2
Event Capture	DRG Grouper	18	10	2
Event Capture	Event Capture	806	175	216
Event Capture	Kernel	504	249	12
Event Capture	Lexicon Utility	8	3	3
Event Capture	List Manager	19	4	4
Event Capture	MailMan	45	45	1
Event Capture	Order Entry Results Reporting	1	1	1
Event Capture	PCE Patient Care Encounter	9	8	3
Event Capture	Problem List	2	1	1
Event Capture	Registration	8	8	3
Event Capture	Scheduling	13	9	9
Event Capture	Toolkit	7	5	1
Event Capture	VA FileMan	755	276	20
Event Driven Reporting	Event Driven Reporting	3	2	2
Event Driven Reporting	MailMan	1	1	1
Event Driven Reporting	Order Entry Results Reporting	1	1	1
Event Driven Reporting	VA FileMan	4	2	4
Ext Rev Track	Ext Rev Track	58	30	24
Ext Rev Track	Kernel	2	2	1
Ext Rev Track	MailMan	6	6	1
Ext Rev Track	VA FileMan	48	24	8
Fee Basis	CPT HCPCS Codes	25	10	3
Fee Basis	DRG Grouper	19	9	3
Fee Basis	Enrollment Application System	2	2	2
Fee Basis	Fee Basis	1854	334	249
Fee Basis	Generic Code Sheet	1	1	1
Fee Basis	Health Level Seven	5	4	4
Fee Basis	IFCAP	30	18	6
Fee Basis	Income Verification Match	2	2	1
Fee Basis	Integrated Billing	9	8	5
Fee Basis	Kernel	366	183	16
Fee Basis	Lexicon Utility	8	6	2
Fee Basis	List Manager	4	2	2
