caller_routine	caller_package	callee_tag	callee_routine	kind	ref_count
DGX66	Registration	CREF	DILF	func	5
DGX66	Registration	E	DIE0	do	1
DGX66	Registration	EZBLD	DIALOG	func	1
DGX66	Registration	F	DIE17	do	25
DGX66	Registration	FIREREC	DIE17	do	19
DGX66	Registration	GETAPI	DGICDGT	do	5
DGX66	Registration	LABEL	DIALOGZ	func	6
DGX66	Registration	M	DIE17	goto	1
DGX66	Registration	NOSCR	DIED	do	1
DGX66	Registration	OREF	DILF	func	5
DGX66	Registration	OUT	DIE17	goto	19
DGX66	Registration	OUTPUT	DIETLIBF	func	1
DGX66	Registration	RW	DIR2	goto	1
DGX66	Registration	SCAN	DGPTSCAN	do	1
DGX66	Registration	SET	DIED	do	1
DGX66	Registration	SET	DIQ	func	1
DGX66	Registration	UNIQFERR	DIE17	goto	1
DGX66	Registration	VALEXT	DIETLIBF	func	1
DGX66	Registration	VALEXTS	DIETLIBF	func	1
DGX66	Registration	Z	DIE17	goto	1
DGX66	Registration	Z	DIE2	goto	1
DGX67	Registration	KPTFP	DGPTDDCR	do	25
DGX67	Registration	NOTIFYP	DGPTDD	do	2
DGX67	Registration	SPTFP	DGPTDDCR	do	25
DGX7	Registration		DGX71	do	1
DGX7	Registration		DGX72	do	1
DGX7	Registration		DGX73	goto	1
DGX7	Registration		DICR	do	8
DGX7	Registration		DIE17	goto	1
DGX7	Registration	AST	DIED	goto	1
DGX7	Registration	CENSUS	DGPTIC10	do	1
DGX7	Registration	CODESYS	DGPTIC10	func	1
DGX7	Registration	CREF	DILF	func	5
DGX7	Registration	E	DIE0	do	1
DGX7	Registration	EZBLD	DIALOG	func	1
DGX7	Registration	F	DIE17	do	41
DGX7	Registration	FIREREC	DIE17	do	35
DGX7	Registration	FLAGCHK	DGPTSCAN	do	1
DGX7	Registration	GETAPI	DGICDGT	do	5
DGX7	Registration	GETTMP	DIKC1	func	1
DGX7	Registration	LABEL	DIALOGZ	func	10
DGX7	Registration	M	DIE17	goto	1
DGX7	Registration	NOSCR	DIED	do	1
DGX7	Registration	OREF	DILF	func	5
DGX7	Registration	OUT	DIE17	goto	35
DGX7	Registration	POA701	DGPTFUT1	func	5
DGX7	Registration	RW	DIR2	goto	1
DGX7	Registration	SET	DIED	do	1
DGX7	Registration	SET	DIQ	func	1
DGX7	Registration	UNIQFERR	DIE17	goto	1
DGX7	Registration	Z	DIE17	goto	1
DGX7	Registration	Z	DIE2	goto	1
DGX71	Registration		DICR	do	1
DGX72	Registration		DICR	do	1
DGX73	Registration		DGX74	goto	1
DGX73	Registration		DICR	do	10
DGX73	Registration		DIE17	goto	1
DGX73	Registration	AST	DIED	goto	1
DGX73	Registration	CREF	DILF	func	5
DGX73	Registration	E	DIE0	do	1
DGX73	Registration	EZBLD	DIALOG	func	1
DGX73	Registration	F	DIE17	do	36
DGX73	Registration	FIREREC	DIE17	do	30
DGX73	Registration	GETAPI	DGICDGT	do	5
DGX73	Registration	LABEL	DIALOGZ	func	10
DGX73	Registration	M	DIE17	goto	1
DGX73	Registration	NOSCR	DIED	do	1
DGX73	Registration	OREF	DILF	func	5
DGX73	Registration	OUT	DIE17	goto	30
DGX73	Registration	POA701	DGPTFUT1	func	5
DGX73	Registration	RW	DIR2	goto	1
DGX73	Registration	SET	DIED	do	1
DGX73	Registration	SET	DIQ	func	1
DGX73	Registration	UNIQFERR	DIE17	goto	1
DGX73	Registration	Z	DIE17	goto	1
DGX73	Registration	Z	DIE2	goto	1
DGX74	Registration		DGX75	goto	1
DGX74	Registration		DICR	do	10
DGX74	Registration		DIE17	goto	1
DGX74	Registration	AST	DIED	goto	1
DGX74	Registration	CREF	DILF	func	5
DGX74	Registration	E	DIE0	do	1
DGX74	Registration	EZBLD	DIALOG	func	1
DGX74	Registration	F	DIE17	do	36
DGX74	Registration	FIREREC	DIE17	do	30
DGX74	Registration	GETAPI	DGICDGT	do	5
DGX74	Registration	LABEL	DIALOGZ	func	10
DGX74	Registration	M	DIE17	goto	1
DGX74	Registration	NOSCR	DIED	do	1
DGX74	Registration	OREF	DILF	func	5
DGX74	Registration	OUT	DIE17	goto	30
DGX74	Registration	POA701	DGPTFUT1	func	5
DGX74	Registration	RW	DIR2	goto	1
DGX74	Registration	SET	DIED	do	1
DGX74	Registration	SET	DIQ	func	1
DGX74	Registration	UNIQFERR	DIE17	goto	1
DGX74	Registration	Z	DIE17	goto	1
DGX74	Registration	Z	DIE2	goto	1
DGX75	Registration		DGX76	goto	1
DGX75	Registration		DICR	do	10
DGX75	Registration		DIE17	goto	1
DGX75	Registration	AST	DIED	goto	1
DGX75	Registration	CREF	DILF	func	5
DGX75	Registration	E	DIE0	do	1
DGX75	Registration	EZBLD	DIALOG	func	1
DGX75	Registration	F	DIE17	do	36
DGX75	Registration	FIREREC	DIE17	do	30
DGX75	Registration	GETAPI	DGICDGT	do	5
DGX75	Registration	LABEL	DIALOGZ	func	10
DGX75	Registration	M	DIE17	goto	1
DGX75	Registration	NOSCR	DIED	do	1
DGX75	Registration	OREF	DILF	func	5
DGX75	Registration	OUT	DIE17	goto	30
DGX75	Registration	POA701	DGPTFUT1	func	5
DGX75	Registration	RW	DIR2	goto	1
DGX75	Registration	SET	DIED	do	1
DGX75	Registration	SET	DIQ	func	1
DGX75	Registration	UNIQFERR	DIE17	goto	1
DGX75	Registration	Z	DIE17	goto	1
DGX75	Registration	Z	DIE2	goto	1
DGX76	Registration		DGX77	goto	1
DGX76	Registration		DICR	do	10
DGX76	Registration		DIE17	goto	1
DGX76	Registration	AST	DIED	goto	1
DGX76	Registration	CREF	DILF	func	5
DGX76	Registration	E	DIE0	do	1
DGX76	Registration	EZBLD	DIALOG	func	1
DGX76	Registration	F	DIE17	do	38
DGX76	Registration	FIREREC	DIE17	do	32
DGX76	Registration	GETAPI	DGICDGT	do	5
DGX76	Registration	LABEL	DIALOGZ	func	10
DGX76	Registration	M	DIE17	goto	1
DGX76	Registration	NOSCR	DIED	do	1
DGX76	Registration	OREF	DILF	func	5
DGX76	Registration	OUT	DIE17	goto	32
DGX76	Registration	POA701	DGPTFUT1	func	5
DGX76	Registration	RW	DIR2	goto	1
