routine	entry_index	line_text	tag_offset	error_text
ANRVPR1	1	2	ANRVPR1+2	S - 2nd line of routine violates the SAC.
ANRVPR2	1	2	ANRVPR2+2	S - 2nd line of routine violates the SAC.
ANRVRP	1	2	ANRVRP+2	S - 2nd line of routine violates the SAC.
ANRVRP2	1	2	ANRVRP2+2	S - 2nd line of routine violates the SAC.
ANRVRP3	1	2	ANRVRP3+2	S - 2nd line of routine violates the SAC.
ANRVRP4	1	2	ANRVRP4+2	S - 2nd line of routine violates the SAC.
ANRVRP5	1	2	ANRVRP5+2	S - 2nd line of routine violates the SAC.
ANRVRP6	1	2	ANRVRP6+2	S - 2nd line of routine violates the SAC.
ANRVRP7	1	2	ANRVRP7+2	S - 2nd line of routine violates the SAC.
ANRVRP8	1	2	ANRVRP8+2	S - 2nd line of routine violates the SAC.
ANRVRP9	1	2	ANRVRP9+2	S - 2nd line of routine violates the SAC.
ANRVRRL	1	1	ANRVRRL	S - First line of routine violates the SAC.
ANRVRRL	2	2	ANRVRRL+2	S - 2nd line of routine violates the SAC.
ANRVSITE	1	2	ANRVSITE+2	S - 2nd line of routine violates the SAC.
AWCMCPR1	1	1	AWCMCPR1	S - First line of routine violates the SAC.
AWCMCPR1	2	157	PART2+3	S - Non-standard $Z special variable used.
AWCMCPR2	1	1	AWCMCPR2	S - First line of routine violates the SAC.
AWCMCPR3	1	1	AWCMCPR3	S - First line of routine violates the SAC.
AWCMCPR3	2	87	SENDIT+4	S - Non-standard $Z special variable used.
AWCMCPR3	3	88	SENDIT+5	S - Non-standard $Z special variable used.
AWCMCPR4	1	1	AWCMCPR4	S - First line of routine violates the SAC.
AWCMCPS2	1	1	AWCMCPS2	S - First line of routine violates the SAC.
AWCMCPST	1	1	AWCMCPST	S - First line of routine violates the SAC.
AWCMCPUR	1	1	AWCMCPUR	S - First line of routine violates the SAC.
AWCMFTP	1	1	AWCMFTP	S - First line of routine violates the SAC.
AWCMFTP	2	39	NT+13	S - Non-standard $Z special variable used.
AWCMFTP	3	74	VMSC1+2	S - Non-standard $Z special variable used.
AWCMFTP	4	115	PURDEL+34	S - Non-standard $Z special variable used.
AWCMFTP1	1	1	AWCMFTP1	S - First line of routine violates the SAC.
AWCMFTP1	2	37	NT+11	S - Non-standard $Z special variable used.
AWCMFTP1	3	78	VMSC1+3	S - Non-standard $Z special variable used.
AXAFM	1	1	AXAFM	S - First line of routine violates the SAC.
AXAFM	2	2	AXAFM+2	S - 2nd line of routine violates the SAC.
AXAPCH	1	1	AXAPCH	S - First line of routine violates the SAC.
AXAPCH1	1	1	AXAPCH1	S - First line of routine violates the SAC.
AXAPCH10	1	1	AXAPCH10	S - First line of routine violates the SAC.
AXAPCH2	1	1	AXAPCH2	S - First line of routine violates the SAC.
AXAPCHC	1	1	AXAPCHC	S - First line of routine violates the SAC.
AXAPCHR	1	1	AXAPCHR	S - First line of routine violates the SAC.
AXAPCHS	1	1	AXAPCHS	S - First line of routine violates the SAC.
AXAPCHS1	1	1	AXAPCHS1	S - First line of routine violates the SAC.
AXAPCHU	1	1	AXAPCHU	S - First line of routine violates the SAC.
AXAREM	1	1	AXAREM	S - First line of routine violates the SAC.
AXAREM	2	2	AXAREM+2	S - 2nd line of routine violates the SAC.
AXAREM1	1	1	AXAREM1	S - First line of routine violates the SAC.
AXAREM1	2	2	AXAREM1+2	S - 2nd line of routine violates the SAC.
AXAREM2	1	1	AXAREM2	S - First line of routine violates the SAC.
AXAREM2	2	2	AXAREM2+2	S - 2nd line of routine violates the SAC.
AXARPC3	1	1	AXARPC3	S - First line of routine violates the SAC.
AXARPC3	2	2	AXARPC3+2	S - 2nd line of routine violates the SAC.
AXARPCU	1	1	AXARPCU	S - First line of routine violates the SAC.
BPS10P17	1	1	BPS10P17	S - First line of routine violates the SAC.
BPS27POST	1	42	INIT+12	W - Blank(s) at end of line.
BPS27POST	2	70	ADD+25	W - Blank(s) at end of line.
BPSOSHF	1	1	BPSOSHF	S - First line of routine violates the SAC.
BPSOSHR	1	1	BPSOSHR	S - First line of routine violates the SAC.
BPSOSSG	1	1	BPSOSSG	S - First line of routine violates the SAC.
BPSVRX2	1	1	BPSVRX2	S - First line of routine violates the SAC.
CWMAIL	1	9	ENTRY+5	S - Non-standard $Z special variable used.
CWMAIL0	1	51	READM+1	S - Non-standard $Z special variable used.
CWMAIL1	1	5	LATER+1	S - Non-standard $Z special variable used.
CWMAIL1	2	27	NETINFO+4	S - Non-standard $Z special variable used.
CWMAPP	1	1	CWMAPP	S - First line of routine violates the SAC.
CWMAPP01	1	1	CWMAPP01	S - First line of routine violates the SAC.
DDFIX	1	1	DDFIX	S - First line of routine violates the SAC.
DDMAP	1	1	DDMAP	S - First line of routine violates the SAC.
DDMAP1	1	1	DDMAP1	S - First line of routine violates the SAC.
DDMAP2	1	1	DDMAP2	S - First line of routine violates the SAC.
DDXP4	1	1	DDXP4	S - First line of routine violates the SAC.
DENTA	1	1	DENTA	S - First line of routine violates the SAC.
DENTA1	1	1	DENTA1	S - First line of routine violates the SAC.
DENTA4	1	1	DENTA4	S - First line of routine violates the SAC.
DENTAR	1	1	DENTAR	S - First line of routine violates the SAC.
DENTAR1	1	1	DENTAR1	S - First line of routine violates the SAC.
