file_number	piks	piks_method	piks_confidence	piks_evidence
423.08	I	H-05	certain	inherits from 423
423.09	I	H-05	certain	inherits from 423
423.1	I	H-05	certain	inherits from 423
423.11	I	H-05	certain	inherits from 423
423.12	I	H-05	certain	inherits from 423
423.13	I	H-05	certain	inherits from 423
423.14	I	H-05	certain	inherits from 423
423.15	I	H-05	certain	inherits from 423
423.16	I	H-05	certain	inherits from 423
423.17	I	H-05	certain	inherits from 423
423.18	I	H-05	certain	inherits from 423
423.19	I	H-05	certain	inherits from 423
423.2	I	H-05	certain	inherits from 423
423.4	I	H-15	moderate	package=IFCAP (PRC)
423.5	I	H-15	moderate	package=IFCAP (PRC)
423.6	I	H-15	moderate	package=IFCAP (PRC)
423.61	I	H-05	certain	inherits from 423.6
423.9	I	H-15	moderate	package=IFCAP (PRC)
423.9001	I	H-05	certain	inherits from 423.9
424	I	H-09	low	has ptr to file 200 (staff/provider); no ptr to file 2 or 4
424.1	I	H-09	low	has ptr to file 200 (staff/provider); no ptr to file 2 or 4
430	P	H-06	high	field=7 PATIENT points to file 2
430.01	P	H-05	certain	inherits from 430
430.0171	P	H-05	certain	inherits from 430
430.0172	P	H-05	certain	inherits from 430
430.02	P	H-05	certain	inherits from 430
430.03	P	H-05	certain	inherits from 430
430.051	P	H-05	certain	inherits from 430
430.098	P	H-05	certain	inherits from 430
430.2	I	H-15	moderate	package=ACCOUNTS RECEIVABLE (PRCA)
430.22	P	H-05	certain	inherits from 430.02
430.3	I	H-15	moderate	package=ACCOUNTS RECEIVABLE (PRCA)
430.5	I	H-15	moderate	package=ACCOUNTS RECEIVABLE (PRCA)
430.6	I	H-15	moderate	package=ACCOUNTS RECEIVABLE (PRCA)
430.7	I	H-15	moderate	package=ACCOUNTS RECEIVABLE (PRCA)
430.71	I	H-05	certain	inherits from 430.7
430.8	I	H-15	moderate	package=ACCOUNTS RECEIVABLE (PRCA)
430.81	I	H-05	certain	inherits from 430.8
433	I	H-09	low	has ptr to file 200 (staff/provider); no ptr to file 2 or 4
433.001	I	H-15	moderate	package=ACCOUNTS RECEIVABLE (PRCA)
433.01	I	H-05	certain	inherits from 433
433.041	I	H-05	certain	inherits from 433
433.061	I	H-05	certain	inherits from 433
436.1	I	H-15	moderate	package=ACCOUNTS RECEIVABLE (PRCA)
436.12	I	H-05	certain	inherits from 436.1
436.122	I	H-05	certain	inherits from 436.12
440	I	H-09	low	has ptr to file 200 (staff/provider); no ptr to file 2 or 4
440.01	I	H-05	certain	inherits from 440
440.02	I	H-05	certain	inherits from 440
440.03	I	H-05	certain	inherits from 440
440.04	I	H-05	certain	inherits from 440
440.05	I	H-05	certain	inherits from 440
